n	worst	avg	avr*n!
1	0	0	0
2	1	1	2
3	3	2.666666666666666666666666666666667	16
4	5	4.666666666666666666666666666666667	112
5	7	6.933333333333333333333333333333333	832
6	10	9.6	6912
7	13	12.45714285714285714285714285714286	62784
8	16	15.45714285714285714285714285714286	623232
9	19	18.58412698412698412698412698412698	6743808
10	22	21.85079365079365079365079365079365	79292160
11	26	25.39624819624819624819624819624820	1013736960
12	30	29.06291486291486291486291486291486	13921182720
13	34	32.83913863913863913863913863913864	204489999360
14	38	36.69628149628149628149628149628150	3199119114240
15	42	40.64733044733044733044733044733045	53153472153600
16	46	44.64733044733044733044733044733045	934146714009600
17	50	48.73662154838625426860720978368037	17335003572633600
18	54	52.86360567537038125273419391066450	338452558965964800
19	58	57.06580244660740016777168479954858	6941775268528128000
20	62	61.33246911327406683443835146621524	149215887272116224000
21	66	65.62923076235769734221746605647534	3353059233653391360000
22	71	70.17468530781224279676292060192989	78876397357545553920000
23	76	74.78338095998615584024118147149511	1933301216367974154240000
24	81	79.45004762665282250690784813816177	49294655067586497085440000
25	86	84.17178675708760511560350031207482	1305606264111651343564800000
26	91	88.94801053331138133937972408829859	35871973132283855555788800000
27	96	93.76759185376226700765669671309731	1021023066375728691444449280000
28	101	98.62473471090512415051383957024016	30069532103777299254309027840000
29	106	103.5300442783436271212506933655647	915388010710447171381116272640000
30	111	108.4810932293925781702017423166137	28774920214649298145031435059200000
31	116	113.4623104344101410733379878139367	932982272032402773685579441766400000
32	121	118.4623104344101410733379878139367	31171086889705356408774632197324800000
33	126	123.5113548206562490392312223631658	1072488323437530838626198894516633600000
34	131	128.6006459217120559773911016995158	37967128653768103252428069672478310400000
35	136	133.7107820718095157425976386814554	1381653295849219504073859599765078016000000
36	141	138.8377661987936427267246228084395	51646722532367744896534561809839947776000000
37	146	144.0033153257588358523859014899822	1982026076461755285960901567366375145472000000
38	151	149.2055120969958547674233923788663	78037857477415387623789181695154785878016000000
39	156	154.4216374635724473439192430440839	3149874351767372240669386073393695064850432000000
40	161	159.6883041302391140105859097107506	130292127895800484360995662288954012970516480000000
41	166	164.9508486696577104997816390189178	5518022654985680327605368966917532525589954560000000
42	171	170.2476103187413410075607536091779	239198934030639907440392261151601444827294597120000000
43	177	175.7592382257180851936072652370848	10618540613224948555891592027198811369648590684160000000
44	183	181.3046927711726306481527197825394	481957111169360952354744701421465115656310531031040000000
45	189	186.8829873448160415008658980771130	22355357988162324623457997540805273551513280367820800000000
46	195	192.4916829969899545443441589466782	1059209000438760822876054382542922273856221900229836800000000
47	201	198.1314542873302701196918965903090	51241398953111194711959450195114509629327218891659673600000000
48	207	203.7981209539969367863585632569757	2529932671440375091308939913967278920759328262809504972800000000
49	213	209.4948041926890819604433711864150	127431889999822805902440788930785033533405474442729173811200000000
50	219	215.2165433231238645691390233603280	6545616007180074232102014195872039658405930140852771880960000000000
51	225	220.9661011109429341398998693447716	342744663273979460646766031296518213232496253559431034306560000000000
52	231	226.7423248871667103636760931209954	18288622159416160231255551711638454161667351559175515794309120000000000
53	237	232.5411678601044251537674709783601	994086351340956872407591598778641555879461078016167408262184960000000000
54	243	238.3607491805553108220444436031588	55024076641390938065518681097890048779055673416125747013846302720000000000
55	249	244.2056711127607503452486741019005	3100533701698425546047892635894861666362756985062319041835276697600000000000
56	255	250.0628139699036074881058169590433	177794307595111745082398540688114070879056736468365281600801970585600000000000
57	261	255.9509382672399943209865190311902	10372903072354232941776232081552558842704428398118017267530579784499200000000000
58	267	261.8562478346784972917233728265148	615509170515021277963212071813695074730907833075341490947013961632972800000000000
59	273	267.7849830974536920595474498583947	37137256555659719314966164078202119013851246189848890000706514646676275200000000000
60	279	273.7360320485026431084984988094437	2277753994968554648497824154810470379208849602775642632948225391525363712000000000000
61	285	279.7030349160837598085476337735746	141971726284814670457714051219592839135186154774253816366043068235599839232000000000000
62	291	285.6842521211013227116838792708976	8990475775164984549373245189152894551806089158011879299529592657867714854912000000000000
63	297	291.6873960092560148848347974018266	578301856826618861218292614899737802086407113034363446338735705240641581613056000000000000
64	303	297.6873960092560148848347974018266	37772640430018912102591327689594188218347248331246531718871896501652349448617984000000000000
65	309	303.7247446509405356521291910547647	2505015570050426924419768148932506368603511427066632111035901517434024307206389760000000000000
66	315	309.7737890371866436180224256039939	168623794321236063622951721069498000828127822882031094903085570811100528574568857600000000000000
67	321	315.8435739655881198204237828448830	11519166018896096468869312712438252917981877383833507606191943233320768492315607040000000000000000
68	327	321.9328650666439267585836621812330	798404947643797263498059144563218181087932911053486798317430828540815520856992540262400000000000000
69	333	328.0334663543560553868583103057800	56133891241061587537857475060692970148960059772491245277339343853861148135995760390963200000000000000
70	339	334.1436025044535151520648472877196	4002563090661527461707260939349715507302317896148455204627105213810497755499855189167308800000000000000
71	345	340.2735322081943000678158649892141	289395353399426126942183237900871813331152781565056954205159876082886619290899918950812876800000000000000
